theta,R,Dstar,size,members
-3.142,0.0,0.0,1,A047250
-3.142,0.0,0.034,1,A047492
-3.142,0.0,0.111,1,A000030
-3.142,0.004,0.185,1,A010412
-3.142,0.005,0.04,1,A047590
-3.142,0.009,0.043,1,A047575
-3.142,0.014,0.069,1,A058224
-3.142,0.039,0.052,1,A028902
-3.142,0.1,0.103,1,A019991
-3.142,0.392,0.197,1,A055615
-3.142,0.597,0.206,1,A055017
-3.142,0.783,0.263,2,A053222|A053246
-3.142,0.809,0.496,1,A009393
-3.142,0.884,0.42,1,A055651
-3.142,0.935,0.413,1,A007428
-3.141,0.231,0.155,1,A044855
-3.141,0.5,0.25,2,A009001|A009531
-3.141,0.685,0.248,1,A004718
-3.141,0.854,0.303,1,A030189
-3.141,0.854,0.346,1,A003406
-3.141,0.866,0.304,1,A030188
-3.141,0.873,0.44,1,A015624
-3.141,0.91,0.463,1,A016253
-3.141,0.98,0.5,1,A002448
-3.14,0.0,0.0,1,A052938
-3.14,0.0,0.001,1,A056088
-3.14,0.001,0.001,1,A058207
-3.14,0.003,0.004,1,A024706
-3.14,0.746,0.4,1,A016004
-3.14,0.847,0.435,1,A015491
-3.14,0.906,0.455,1,A015964
-3.139,0.062,0.093,1,A031483
-3.139,0.214,0.068,1,A046730
-3.139,0.753,0.293,1,A053825
-3.138,0.698,0.259,1,A002173
-3.138,0.829,0.366,1,A015794
-3.138,0.992,0.482,1,A008310
-3.138,0.996,0.49,2,A039991|A053120
-3.138,0.996,0.496,1,A048594
-3.137,0.0,0.0,1,A056024
-3.137,0.396,0.125,1,A037161
-3.137,0.552,0.306,1,A016319
-3.137,0.775,0.314,1,A050459
-3.136,0.012,0.054,1,A043692
-3.136,0.089,0.158,1,A037305
-3.136,0.793,0.32,1,A053826
-3.135,0.001,0.001,1,A047700
-3.135,0.114,0.049,1,A028900
-3.135,0.184,0.137,1,A031844
-3.135,0.535,0.168,1,A002070
-3.135,0.592,0.34,1,A015374
-3.135,0.854,0.43,1,A014944
-3.135,0.887,0.447,1,A015776
-3.135,0.959,0.443,1,A053256
-3.134,0.966,0.452,1,A053284
-3.134,0.999,0.499,1,A049444
-3.132,0.0,0.001,1,A010764
-3.132,0.974,0.462,2,A000025|A053269
-3.131,0.008,0.009,1,A005108
-3.131,0.03,0.03,1,A043667
-3.131,0.677,0.255,1,A053735
-3.131,0.717,0.253,1,A053822
-3.131,0.988,0.482,2,A053124|A053125
-3.13,0.0,0.0,1,A049474
-3.13,0.0,0.003,1,A029926
-3.13,0.546,0.289,1,A016154
-3.129,0.171,0.067,1,A028899
-3.129,0.396,0.128,1,A051125
-3.129,0.979,0.469,2,A058614|A058618
-3.128,0.001,0.046,1,A046116
-3.128,0.129,0.158,1,A049823
-3.128,0.178,0.175,1,A021108
-3.128,0.195,0.108,1,A049468
-3.128,0.662,0.246,1,A053737
-3.128,0.841,0.427,1,A014750
-3.127,0.163,0.202,1,A019511
-3.127,0.554,0.196,1,A002408
-3.127,0.964,0.45,1,A058688
-3.126,0.037,0.068,1,A031481
-3.126,0.399,0.127,1,A038760
-3.126,0.595,0.207,1,A053831
-3.125,0.014,0.066,1,A039096
-3.123,0.338,0.181,1,A058030
-3.123,0.451,0.333,1,A049298
-3.123,0.986,0.479,1,A058503
-3.122,0.395,0.238,1,A045301
-3.122,0.892,0.384,1,A058755
-3.121,0.093,0.112,1,A045072
-3.121,0.95,0.437,1,A058672
-3.12,0.976,0.466,1,A058559
-3.119,0.022,0.021,2,A025292|A025310
-3.119,0.756,0.366,1,A005762
-3.119,0.913,0.436,1,A056588
-3.119,0.977,0.468,1,A058533
-3.118,0.069,0.138,1,A039413
-3.117,0.056,0.054,1,A046510
-3.116,0.088,0.183,1,A021143
-3.116,0.212,0.333,1,A021278
-3.116,0.897,0.389,1,A058745
-3.115,0.262,0.096,1,A028898
-3.112,0.004,0.004,1,A008536
-3.112,0.989,0.478,1,A029840
-3.112,0.997,0.496,1,A028297
-3.111,0.894,0.362,1,A053250
-3.111,0.966,0.455,1,A058553
-3.111,0.983,0.477,1,A058098
-3.11,0.039,0.061,1,A028790
-3.11,0.097,0.133,1,A037991
-3.11,0.386,0.126,1,A051162
-3.11,0.414,0.209,1,A039418
-3.11,0.851,0.323,1,A053252
-3.11,0.995,0.503,1,A002483
-3.109,0.1,0.071,1,A039308
-3.109,0.702,0.258,1,A050223
-3.109,0.935,0.36,1,A047639
-3.108,0.071,0.115,1,A037404
-3.108,0.618,0.391,1,A020933
-3.108,0.781,0.313,1,A002614
-3.107,0.599,0.2,1,A023900
-3.107,0.819,0.348,1,A050456
-3.107,0.992,0.491,1,A029841
-3.105,0.114,0.098,1,A036576
-3.103,0.008,0.008,1,A003335
-3.103,0.078,0.126,1,A031946
-3.103,0.127,0.085,1,A037439
-3.103,0.991,0.484,1,A029842
-3.102,0.24,0.16,1,A020436
-3.102,0.933,0.422,1,A058612
-3.101,0.576,0.204,1,A053832
-3.101,0.849,0.314,1,A051950
-3.101,0.935,0.425,1,A058608
-3.101,0.966,0.422,1,A030220
-3.1,0.005,0.004,1,A053477
-3.1,0.013,0.01,1,A053339
-3.099,0.008,0.008,1,A003334
-3.099,0.988,0.485,1,A029843
-3.098,0.01,0.037,1,A050099
-3.098,0.805,0.35,1,A005760
-3.097,0.123,0.347,1,A021158
-3.097,0.94,0.431,1,A053273
-3.097,0.942,0.368,1,A010819
-3.096,0.029,0.038,1,A039562
-3.096,0.257,0.116,1,A011542
-3.096,0.942,0.433,1,A058568
-3.096,0.993,0.488,1,A029844
-3.094,0.415,0.145,1,A028897
-3.094,0.839,0.303,1,A036265
-3.094,0.999,0.506,1,A051339
-3.093,0.982,0.465,1,A058487
-3.092,0.777,0.329,1,A050313
-3.092,0.995,0.497,2,A005798|A029845
-3.09,0.009,0.009,1,A003333
-3.088,0.91,0.364,1,A002470
-3.087,0.54,0.192,1,A053835
-3.086,0.008,0.021,1,A030059
-3.086,0.999,0.508,1,A039814
-3.085,0.004,0.006,1,A007843
-3.082,0.947,0.384,1,A047647
-3.081,0.711,0.277,1,A035036
-3.081,0.971,0.441,1,A002607
-3.079,0.957,0.451,1,A058491
-3.077,0.015,0.011,1,A054999
-3.076,0.146,0.141,1,A054249
-3.075,0.002,0.003,1,A055938
-3.074,0.386,0.134,1,A008935
-3.074,0.604,0.263,1,A055736
-3.073,0.01,0.01,1,A003332
-3.073,0.077,0.087,2,A037989|A044848
-3.072,0.002,0.002,1,A024707
-3.072,0.055,0.036,1,A058899
-3.072,0.215,0.195,1,A036786
-3.072,0.55,0.196,1,A043269
-3.072,0.845,0.31,1,A036270
-3.072,0.992,0.496,1,A007191
-3.071,0.888,0.332,1,A000730
-3.07,0.035,0.287,1,A046416
-3.069,0.033,0.158,1,A021621
-3.069,0.982,0.471,1,A007325
-3.067,0.001,0.001,1,A036742
-3.066,0.409,0.333,1,A032545
-3.066,0.869,0.334,1,A005590
-3.064,0.011,0.011,1,A055262
-3.064,0.42,0.233,1,A053610
-3.064,0.637,0.237,1,A030205
-3.063,0.207,0.078,1,A002172
-3.063,0.293,0.096,1,A055593
-3.062,0.659,0.243,1,A004159
-3.061,0.644,0.235,1,A053830
-3.061,0.913,0.456,1,A003264
-3.061,0.994,0.507,1,A003272
-3.06,0.054,0.125,1,A020429
-3.059,0.026,0.023,1,A032692
-3.059,0.903,0.41,1,A055136
-3.058,0.913,0.455,1,A003245
-3.058,0.993,0.508,1,A056223
-3.056,0.995,0.498,1,A002507
-3.055,0.002,0.003,1,A020645
-3.055,0.038,0.026,1,A035700
-3.054,0.959,0.403,1,A034777
-3.053,0.004,0.004,1,A048195
-3.052,0.013,0.013,1,A003331
-3.052,0.227,0.148,1,A039333
-3.052,0.579,0.214,3,A004092|A004155|A007953
-3.052,0.969,0.469,1,A007256
-3.051,0.917,0.406,1,A028861
-3.05,0.008,0.01,1,A047224
-3.048,0.075,0.075,1,A031784
-3.047,0.241,0.106,1,A056951
-3.047,0.285,0.132,1,A030640
-3.047,0.674,0.269,1,A005811
-3.046,0.137,0.102,1,A043618
-3.046,0.965,0.404,1,A047648
-3.044,0.08,0.098,1,A039062
-3.043,0.424,0.308,1,A045167
-3.043,0.863,0.32,1,A001485
-3.042,0.001,0.001,1,A047232
-3.041,0.008,0.007,1,A038630
-3.041,0.052,0.065,1,A043528
-3.039,0.0,0.0,1,A008365
-3.039,0.608,0.292,1,A033264
-3.033,0.734,0.289,1,A049113
-3.032,0.042,0.084,1,A036160
-3.032,0.974,0.479,1,A007248
-3.031,0.015,0.024,2,A012264|A012265
-3.031,0.92,0.365,1,A030210
-3.03,0.005,0.005,1,A035034
-3.03,0.415,0.208,1,A056160
-3.028,0.005,0.004,1,A035035
-3.027,0.377,0.195,1,A037193
-3.026,0.092,0.155,1,A039312
-3.025,0.154,0.078,1,A056907
